Time, People in elevator, Elevator floor, Sorted queue)
25,1;,2,1;
35,2;,1,9;10;
105,2;4;5;6;7;8;,8,10;9;4;3;2;
115,4;5;6;7;8;,9,10;6;4;3;2;
125,3;5;6;8;,10,6;5;4;3;2;
145,3;5;6;8;12;,8,6;5;4;3;2;1;
165,3;5;6;8;11;12;15;,6,5;4;3;2;1;8;
175,5;6;8;11;12;14;15;,5,4;3;2;1;6;8;9;
185,6;8;11;12;14;15;,4,3;2;1;6;8;9;
195,6;10;11;12;14;15;17;,3,2;1;6;8;9;7;
205,9;10;12;14;15;17;18;,2,1;6;8;9;7;
215,10;13;14;15;17;18;,1,6;8;9;7;2;
225,10;13;14;15;17;18;19;,2,6;8;9;7;3;
235,10;13;14;15;17;18;19;20;,3,9;8;7;6;10;
285,10;13;14;17;18;19;20;24;,8,7;6;9;10;2;
295,13;14;18;19;20;23;,7,6;9;10;2;
305,13;19;20;23;26;,6,9;10;5;4;2;
335,16;20;22;23;26;29;,9,10;7;6;5;4;2;
345,16;21;22;23;26;29;31;,10,7;6;5;4;3;2;
365,16;21;22;23;26;29;31;34;,8,7;6;5;4;3;2;
375,16;21;22;23;26;31;32;,7,5;4;3;2;6;10;
385,16;21;22;23;26;30;31;32;,6,5;4;3;2;9;10;
395,16;22;23;30;31;32;36;,5,4;3;2;9;10;
405,23;28;30;31;32;33;36;,4,3;2;5;8;9;10;
415,23;28;32;33;,3,2;5;8;9;10;6;
425,25;27;28;32;37;,2,5;7;9;10;8;6;3;
435,25;27;28;32;37;41;,3,5;7;9;10;8;6;4;
445,25;27;28;32;37;41;42;,4,6;8;9;10;7;5;
455,25;27;28;32;38;41;42;,5,7;9;10;8;6;4;
505,25;27;28;38;39;41;43;49;,10,9;8;7;6;5;4;1;
535,25;28;38;39;41;43;44;,7,9;8;6;5;4;3;2;1;
555,28;35;38;39;43;44;,9,8;6;5;4;3;2;1;10;
565,35;38;39;40;43;44;,8,3;4;5;6;2;1;10;
615,35;38;39;40;43;,3,4;5;6;2;1;10;
625,35;39;40;43;48;,4,5;6;2;1;7;10;
635,35;40;43;45;48;,5,6;2;1;7;10;
645,35;40;43;45;46;47;48;,6,4;2;1;7;9;10;
665,35;40;43;45;47;48;,4,2;1;7;9;10;
685,35;43;45;47;48;50;,2,1;6;9;10;7;
695,35;45;47;48;50;,1,6;9;10;7;
745,35;45;47;48;,6,9;10;7;
775,35;45;48;,9,10;7;
785,45;48;,10,7;
815,,7,
